headline,summary,link
"
Malabar Naval Exercise kicks off, China says ‘hope it is conducive to peace’
",Malabar exercise 2020 comes at a time when the ties of all the four participating nations are at a significant low with the major power in the region –- China.,https://indianexpress.com/article/india/malabar-naval-exercise-kicks-off-as-australia-participating-completes-quad-6927325/
"
Haryana: Industry to get Rs 48k annual subsidy per local employee for 7 years
","Deputy CM Dushyant Chautala, who also holds the portfolio of Industries & Commerce and Labour & Employment, announced this after presiding over a meeting of the top officials of his departments on Haryana Enterprises and Employment Policy-2020 (HEPP-2020), Tuesday.",https://indianexpress.com/article/india/haryana-industry-to-get-rs-48k-annual-subsidy-per-local-employee-for-7-years-6926583/
"
Javed Akhtar files defamation case against Kangana Ranaut
","The complaint, filed before the Metropolitan Magistrate at Andheri, Mumbai, claims Ranaut made the defamatory comments in a video interview to a TV channel. ",https://indianexpress.com/article/india/javed-akhtar-files-defamation-case-against-kangana-ranaut-6926324/
"
Kerala: Why CM Vijayan said central probe agencies out to ‘malign, destabilise’ his govt
","In connection with the investigation into the gold smuggling case, the ED has sought details of some Kerala government schemes, irking Pinarayi Vijayan.",https://indianexpress.com/article/india/kerala/kerala-why-cm-vijayan-said-central-probe-agencies-are-out-to-malign-and-destabilise-his-govt-6925995/
"
‘Karnataka to bring law banning religious conversions for marriage’: Tourism Minister C T Ravi
",BJP-ruled states of Uttar Pradesh and Haryana have also announced their intention of bringing a legislation to deal with cases of 'love jihad'.,https://indianexpress.com/article/india/karnataka-to-enact-law-banning-religious-conversions-for-marriage-says-minister-6923558/
"
Amarinder Singh to sit on dharna at Rajghat tomorrow as power crisis grips Punjab
","The crisis, triggered by the suspension of goods trains, aggravated further in the state, resulting in complete shut-down of all power plants as well as curtailment of agricultural and vegetable supplies.",https://indianexpress.com/article/india/amarinder-singh-to-sit-on-dharna-at-rajghat-tomorrow-as-power-crisis-grips-punjab-6922803/
"
Preparations on for second wave, Punjab to expand contact tracing to 15
","To streamline and prioritise the process of Covid vaccination, the Chief Minister ordered a state-level 3-tier vaccine supervision mechanism, comprising a steering committee as well as state and district task force, to be put in place.",https://indianexpress.com/article/india/preparations-on-for-second-wave-punjab-to-expand-contact-tracing-to-15-6921422/
"
Punjab records first monthly dip in Covid cases, Captain orders Sero survey
",The month-long Sero survey would also determine whether it was herd immunity that led to a consistent decrease in new cases in the state.,https://indianexpress.com/article/india/punjab-records-first-monthly-dip-in-covid-cases-captain-orders-sero-survey-6920788/
"
FIR filed against Amitabh Bachchan, KBC makers for ‘hurting Hindu sentiments’
","The KBC episode question annoyed some netizens who accused the show of running a ""leftist propaganda"", while others said it hurt Hindu sentiments.",https://indianexpress.com/article/india/fir-filed-against-amitabh-bachchan-kbc-makers-for-hurting-hindu-sentiments-6920385/
"
Rebel Congress MLA seeks probe into Rae Bareli Trust, writes to EO
","Aditi Singh hit out at her party “colleagues and seniors”, saying that while they question PM Cares Fund, they shy away from maintaining “transparency and accountability in their own family-run societies”.",https://indianexpress.com/article/india/rebel-congress-mla-seeks-probe-into-rae-bareli-trust-writes-to-eo-6919614/
