headline,summary,link
"Aarogya Setu App New Feature: Delete Account, Erase Data & Share Health Status - OdishaBytes","Tue, 07 Jul 2020 14:20:00 GMT",https://news.google.com/__i/rss/rd/articles/CBMiY2h0dHBzOi8vb2Rpc2hhYnl0ZXMuY29tL2Fhcm9neWEtc2V0dS1hcHAtbmV3LWZlYXR1cmUtZGVsZXRlLWFjY291bnQtZXJhc2UtZGF0YS1zaGFyZS1oZWFsdGgtc3RhdHVzL9IBAA?oc=5
Moto G 5G Plus offers fast data and a 90Hz display for €349 - Android Authority,"Tue, 07 Jul 2020 15:10:29 GMT",https://news.google.com/__i/rss/rd/articles/CBMiQWh0dHBzOi8vd3d3LmFuZHJvaWRhdXRob3JpdHkuY29tL21vdG9yb2xhLW1vdG8tZy01Zy1wbHVzLTExMzU2NzMv0gEA?oc=5
Sushant Singh Rajput case: Shekhar Suman feels disheartened as 'there is no family and political support' - Times of India,"Tue, 07 Jul 2020 14:17:00 GMT",https://news.google.com/__i/rss/rd/articles/CBMi6QFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9lbnRlcnRhaW5tZW50L2hpbmRpL2JvbGx5d29vZC9uZXdzL3N1c2hhbnQtc2luZ2gtcmFqcHV0LWNhc2Utc2hla2hhci1zdW1hbi1mZWVscy1kaXNoZWFydGVuZWQtYXMtdGhlcmUtaXMtbm8tZmFtaWx5LWFuZC1wb2xpdGljYWwtc3VwcG9ydC10by1icmluZy1qdXN0aWNlLXRvLXRoZS1sYXRlLWFjdG9yL2FydGljbGVzaG93Lzc2ODM3NzAzLmNtc9IB5AFodHRwczovL20udGltZXNvZmluZGlhLmNvbS9lbnRlcnRhaW5tZW50L2hpbmRpL2JvbGx5d29vZC9uZXdzL3N1c2hhbnQtc2luZ2gtcmFqcHV0LWNhc2Utc2hla2hhci1zdW1hbi1mZWVscy1kaXNoZWFydGVuZWQtYXMtdGhlcmUtaXMtbm8tZmFtaWx5LWFuZC1wb2xpdGljYWwtc3VwcG9ydC10by1icmluZy1qdXN0aWNlLXRvLXRoZS1sYXRlLWFjdG9yL2FtcF9hcnRpY2xlc2hvdy83NjgzNzcwMy5jbXM?oc=5
"When Mira Rajput stood up for Shahid Kapoor on Koffee with Karan, left Karan Johar speechless. Watch - Hindustan Times","Tue, 07 Jul 2020 12:43:50 GMT",https://news.google.com/__i/rss/rd/articles/CBMirQFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vYm9sbHl3b29kL3doZW4tbWlyYS1yYWpwdXQtc3Rvb2QtdXAtZm9yLXNoYWhpZC1rYXBvb3Itb24ta29mZmVlLXdpdGgta2FyYW4tbGVmdC1rYXJhbi1qb2hhci1zcGVlY2hsZXNzLXdhdGNoL3N0b3J5LTZidXMxT1lpNDZWZ3F6bHZRUm1vY0wuaHRtbNIBrwFodHRwczovL20uaGluZHVzdGFudGltZXMuY29tL2JvbGx5d29vZC93aGVuLW1pcmEtcmFqcHV0LXN0b29kLXVwLWZvci1zaGFoaWQta2Fwb29yLW9uLWtvZmZlZS13aXRoLWthcmFuLWxlZnQta2FyYW4tam9oYXItc3BlZWNobGVzcy13YXRjaC9zdG9yeS02YnVzMU9ZaTQ2Vmdxemx2UVJtb2NMX2FtcC5odG1s?oc=5
"Aamir Khan, wife Kiran Rao show off grey hair as they make rare outdoor appearance. See pics - Hindustan Times","Tue, 07 Jul 2020 12:28:04 GMT",https://news.google.com/__i/rss/rd/articles/CBMipQFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vYm9sbHl3b29kL2FhbWlyLWtoYW4td2lmZS1raXJhbi1yYW8tc2hvdy1vZmYtZ3JleS1oYWlyLWFzLXRoZXktbWFrZS1yYXJlLW91dGRvb3ItYXBwZWFyYW5jZS1zZWUtcGljcy9zdG9yeS04Mnh4Q3dhUjhNd0l5T0Z5VGdERm5KLmh0bWzSAacBaHR0cHM6Ly9tLmhpbmR1c3RhbnRpbWVzLmNvbS9ib2xseXdvb2QvYWFtaXIta2hhbi13aWZlLWtpcmFuLXJhby1zaG93LW9mZi1ncmV5LWhhaXItYXMtdGhleS1tYWtlLXJhcmUtb3V0ZG9vci1hcHBlYXJhbmNlLXNlZS1waWNzL3N0b3J5LTgyeHhDd2FSOE13SXlPRnlUZ0RGbkpfYW1wLmh0bWw?oc=5
Sushant Singh Rajput's Dialogue from 'Dil Bechara' is Breaking Hearts - News18,"Tue, 07 Jul 2020 11:38:00 GMT",https://news.google.com/__i/rss/rd/articles/CBMicGh0dHBzOi8vd3d3Lm5ld3MxOC5jb20vbmV3cy9idXp6L3N1c2hhbnQtc2luZ2gtcmFqcHV0cy1kaWFsb2d1ZS1mcm9tLWRpbC1iZWNoYXJhLWlzLWJyZWFraW5nLWhlYXJ0cy0yNzA1MjA1Lmh0bWzSAXRodHRwczovL3d3dy5uZXdzMTguY29tL2FtcC9uZXdzL2J1enovc3VzaGFudC1zaW5naC1yYWpwdXRzLWRpYWxvZ3VlLWZyb20tZGlsLWJlY2hhcmEtaXMtYnJlYWtpbmctaGVhcnRzLTI3MDUyMDUuaHRtbA?oc=5
"MS Dhoni says no to brand endorsements amid pandemic, keeps busy with organic farming - The Indian Express","Tue, 07 Jul 2020 13:38:58 GMT",https://news.google.com/__i/rss/rd/articles/CBMijgFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvc3BvcnRzL2NyaWNrZXQvbXMtZGhvbmktc2F5cy1uby10by1icmFuZC1lbmRvcnNlbWVudHMtYW1pZC1wYW5kZW1pYy1rZWVwcy1idXN5LXdpdGgtb3JnYW5pYy1mYXJtaW5nLTY0OTQ2MTAv0gGTAWh0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9zcG9ydHMvY3JpY2tldC9tcy1kaG9uaS1zYXlzLW5vLXRvLWJyYW5kLWVuZG9yc2VtZW50cy1hbWlkLXBhbmRlbWljLWtlZXBzLWJ1c3ktd2l0aC1vcmdhbmljLWZhcm1pbmctNjQ5NDYxMC9saXRlLw?oc=5
'Do it your way' - Joe Root's message for Ben Stokes | ESPNcricinfo.com - ESPNcricinfo,"Tue, 07 Jul 2020 17:06:50 GMT",https://news.google.com/__i/rss/rd/articles/CBMiWGh0dHBzOi8vd3d3LmVzcG5jcmljaW5mby5jb20vc3RvcnkvXy9pZC8yOTQyMjU1MS9kby15b3VyLXdheS1qb2Utcm9vdC1tZXNzYWdlLWJlbi1zdG9rZXPSAWVodHRwczovL3d3dy5lc3BuY3JpY2luZm8uY29tL3N0b3J5L18vaWQvMjk0MjI1NTEvZG8teW91ci13YXktam9lLXJvb3QtbWVzc2FnZS1iZW4tc3Rva2VzP3BsYXRmb3JtPWFtcA?oc=5
Punjab police arrest one on match-fixing allegations in Mohali T20 - Cricbuzz - Cricbuzz,"Tue, 07 Jul 2020 08:34:42 GMT",https://news.google.com/__i/rss/rd/articles/CBMie2h0dHBzOi8vd3d3LmNyaWNidXp6LmNvbS9jcmlja2V0LW5ld3MvMTEzMzkyL3B1bmphYi1wb2xpY2UtYXJyZXN0LW9uZS1vbi1tYXRjaC1maXhpbmctYWxsZWdhdGlvbnMtaW4tbW9oYWxpLXQyMC1jcmljYnV6emNvbdIBfGh0dHA6Ly9tLmNyaWNidXp6LmNvbS9hbXAvY3JpY2tldC1uZXdzLzExMzM5Mi9wdW5qYWItcG9saWNlLWFycmVzdC1vbmUtb24tbWF0Y2gtZml4aW5nLWFsbGVnYXRpb25zLWluLW1vaGFsaS10MjAtY3JpY2J1enpjb20?oc=5
Lionel Messi set to depart after Barcelona fail to meet his ultimatum - Everything Barca,"Tue, 07 Jul 2020 10:46:49 GMT",https://news.google.com/__i/rss/rd/articles/CBMiXWh0dHBzOi8vZXZlcnl0aGluZ2JhcmNhLmNvbS8yMDIwLzA3LzA3L2xpb25lbC1tZXNzaS1zZXQtZGVwYXJ0LWJhcmNlbG9uYS1mYWlsLW1lZXQtdWx0aW1hdHVtL9IBYWh0dHBzOi8vZXZlcnl0aGluZ2JhcmNhLmNvbS8yMDIwLzA3LzA3L2xpb25lbC1tZXNzaS1zZXQtZGVwYXJ0LWJhcmNlbG9uYS1mYWlsLW1lZXQtdWx0aW1hdHVtL2FtcC8?oc=5
Where did the Lithium in our smartphone batteries come from? - Deccan Herald,"Tue, 07 Jul 2020 16:26:10 GMT",https://news.google.com/__i/rss/rd/articles/CBMifGh0dHBzOi8vd3d3LmRlY2NhbmhlcmFsZC5jb20vc2NpZW5jZS1hbmQtZW52aXJvbm1lbnQvd2hlcmUtZGlkLXRoZS1saXRoaXVtLWluLW91ci1zbWFydHBob25lLWJhdHRlcmllcy1jb21lLWZyb20tODU4MzA5Lmh0bWzSAYABaHR0cHM6Ly93d3cuZGVjY2FuaGVyYWxkLmNvbS9hbXAvc2NpZW5jZS1hbmQtZW52aXJvbm1lbnQvd2hlcmUtZGlkLXRoZS1saXRoaXVtLWluLW91ci1zbWFydHBob25lLWJhdHRlcmllcy1jb21lLWZyb20tODU4MzA5Lmh0bWw?oc=5
A Simple Equation Shows Why the Moon Is Part of Plans to Explore Space More - The Wire,"Tue, 07 Jul 2020 10:59:00 GMT",https://news.google.com/__i/rss/rd/articles/CBMidWh0dHBzOi8vc2NpZW5jZS50aGV3aXJlLmluL3RoZS1zY2llbmNlcy90c2lvbGtvdnNreS1yb2NrZXQtZXF1YXRpb24tZ3Jhdml0eS13ZWxsLWx1bmFyLWJhc2Utc29sYXItc3lzdGVtLWV4cGxvcmF0aW9uL9IBAA?oc=5
We Persevere - NASA,"Tue, 07 Jul 2020 12:59:09 GMT",https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9NnFBOWlhQVVvOGvSAQA?oc=5
‘Last night fireworks’: Astronauts capture photos of comet NEOWISE from space - Hindustan Times,"Tue, 07 Jul 2020 10:58:00 GMT",https://news.google.com/__i/rss/rd/articles/CBMikwFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vc2NpZW5jZS9sYXN0LW5pZ2h0LWZpcmV3b3Jrcy1hc3Ryb25hdXRzLWNhcHR1cmUtcGhvdG9zLW9mLWNvbWV0LW5lb3dpc2UtZnJvbS1zcGFjZS9zdG9yeS1XZkxOSmtseXRoVTk1SFkzeGladTlOLmh0bWzSAZUBaHR0cHM6Ly9tLmhpbmR1c3RhbnRpbWVzLmNvbS9zY2llbmNlL2xhc3QtbmlnaHQtZmlyZXdvcmtzLWFzdHJvbmF1dHMtY2FwdHVyZS1waG90b3Mtb2YtY29tZXQtbmVvd2lzZS1mcm9tLXNwYWNlL3N0b3J5LVdmTE5Ka2x5dGhVOTVIWTN4aVp1OU5fYW1wLmh0bWw?oc=5
WHO acknowledges `emerging evidence` on airborne coronavirus transmission - WION,"Tue, 07 Jul 2020 17:19:35 GMT",https://news.google.com/__i/rss/rd/articles/CBMibGh0dHBzOi8vd3d3Lndpb25ld3MuY29tL3dvcmxkL3doby1hY2tub3dsZWRnZXMtZW1lcmdpbmctZXZpZGVuY2Utb24tYWlyYm9ybmUtY29yb25hdmlydXMtdHJhbnNtaXNzaW9uLTMxMTQ0ONIBcGh0dHBzOi8vd3d3Lndpb25ld3MuY29tL3dvcmxkL3doby1hY2tub3dsZWRnZXMtZW1lcmdpbmctZXZpZGVuY2Utb24tYWlyYm9ybmUtY29yb25hdmlydXMtdHJhbnNtaXNzaW9uLTMxMTQ0OC9hbXA?oc=5
